                                      new_cago_dadta

                          Real Function Parameters of {2agehunt}
                                                               95% Confidence Interval
  Parameter                  Estimate       Standard Error      Lower           Upper
 --------------------------  --------------  --------------  --------------  --------------
     1:S                     0.7973577       0.0148106       0.7667774       0.8248442                           
     2:S                     0.7663563       0.0113875       0.7433011       0.7879316                           
     3:S                     1.0000000       0.0000000       1.0000000       1.0000000                           
     4:S                     0.9998856       0.8106160E-004  0.9995413       0.9999715                           
     5:S                     0.8195374       0.0139226       0.7906264       0.8452377                           
     6:S                     0.7783075       0.0108680       0.7562773       0.7988759                           
     7:p                     0.3031813E-062  0.2817191E-072  0.3031813E-062  0.3031813E-062                      
     8:p                     0.9534497E-003  0.9991451E-003  0.1221222E-003  0.0074020                           
     9:p                     0.0012911       0.0010307       0.2697943E-003  0.0061551                           
    10:p                     0.5923886E-082  0.1192371E-092  0.5923886E-082  0.5923886E-082                      
    11:p                     0.0020540       0.0014866       0.4964745E-003  0.0084561                           
    12:p                     0.0023006       0.0016692       0.5540891E-003  0.0095002                           
    13:r                     0.9998944       0.0370549       0.1566460E-294  1.0000000                           
    14:F                     0.7586819       0.1864615       0.2992871       0.9585776                           
    15:F                     0.6595834       0.2628028       0.1634709       0.9505229                           
