B_AGE_CODE,B_REGION,B_BAND_SIZE_CODE,B_BAND_STATUS_CODE,B_BAND_TYPE_CODE,B_BIRD_STATUS,B_COMMENTS,B_COORD_PRECISION,B_DIRECTION_CODE,B_EXTRA_INFO_CODE,B_FLYWAY_CODE,B_HOW_AGED_CODE,B_HOW_CAPTURED,B_HOW_SEXED_CODE,B_LAT_10_MIN_BLK,B_LAT_DECIMAL_DEGREES,B_LON_10_MIN_BLK,B_LON_DECIMAL_DEGREES,B_MARKER_LONG_DESC,B_PERMIT_NUM,B_REMARKS,B_SEX_CODE,B_SPECIES_ID,B_SPECIES_NAME,BAND_NUM,BANDING_DATE,BANDING_DAY,BANDING_MONTH,BANDING_YEAR,BEARING,DISTANCE,E_REGION,E_CAPTURE_TIME,E_CERTIFICATE_FLAG,E_CERTIFICATE_LANGUAGE,E_COMMENTS,E_COORD_PRECISION,E_COUNTRY_CODE,E_COUNTY_CODE,E_CREATE_DATE,E_CREATE_MONTH,E_CREATE_YEAR,E_DIRECTION_CODE,E_ENC_COUNTY_ORIGINAL,E_FLYWAY_CODE,E_HOW_CAPTURED,E_HOW_OBTAINED_CODE,E_LAT_10_MIN_BLK,E_LAT_DECIMAL_DEGREES,E_LOCATION_DESCRIPTION,E_LOCATION_ID,E_LON_10_MIN_BLK,E_LON_DECIMAL_DEGREES,E_MARKER_LONG_DESC,E_PLACE_NAME,E_PRESENT_CONDITION_CODE,E_REMARKS,E_SPECIES_NAME,E_STATE_CODE,E_WHO_OBTAINED_CODE,E_WHY_REPORTED_CODE,ENCOUNTER_DATE,ENCOUNTER_DAY,ENCOUNTER_MONTH,ENCOUNTER_YEAR,HSS,MIN_AGE_AT_ENC,ORIGINAL_BAND,OTHER_BANDS,SAME_10_MIN_BLOCK
"1","07","8","0","01","2","",0,"0","00","2","","","","351",35.285,"0931",-93.20333,"","06569","","5","1720","Canada Goose","103881410",06/28/2007,"28","06","2007","N",695.2,"50","","Y","E","",10,"US","073",11/23/2009,"11","2009","0","023","2","","01","450",45.08333,"",,"0961",-96.25,"","Louisburg","05","","CANADA GOOSE","27","21","62",10/21/2009,"21","10","2009",3,3.33,"103881410","","N"
"4","07","8","0","01","3","",0,"0","00","2","","","","351",35.29611,"0931",-93.27333,"","06569","","5","1720","Canada Goose","103881726",06/28/2007,"28","06","2007","W",83.8,"67","","E","E","",11,"US","079",12/01/2013,"12","2013","0","079","3","","01","345",34.88927,"",,"0944",-94.6712,"","HEAVENER","04","","CANADIAN GOOSE","40","21","61",12/01/2013,"01","12","2013",7,6.5,"103881726","","N"
"4","07","8","0","01","2","",0,"0","00","2","","","","352",35.48667,"0934",-93.82111,"","06569","","5","1720","Canada Goose","103881739",06/28/2007,"28","06","2007","N",639.3,"50","","Y","E","",10,"US","083",10/11/2009,"10","2009","0","083","2","","01","443",44.58333,"",,"0960",-96.08333,"","MINNEOTA","05","","GOOSE","27","21","61",10/11/2009,"11","10","2009",3,2.33,"103881739","","N"
"4","07","8","0","01","2","",0,"0","00","2","","","","352",35.48667,"0934",-93.82111,"","06569","","5","1720","Canada Goose","103881770",06/28/2007,"28","06","2007","N",639.3,"50","","Y","E","",10,"US","083",11/01/2009,"11","2009","0","083","2","","01","443",44.58333,"",,"0960",-96.08333,"","TAUNTON","05","","CANADA GOOSE","27","21","61",10/22/2009,"22","10","2009",3,2.33,"103881770","","N"
"1","07","8","0","41","3","",0,"0","00","2","","","","342",34.47417,"0912",-91.40972,"","06569","","4","1720","Canada Goose","113842024",07/07/2011,"07","07","2011","SW",178.3,"83","","E","E","",10,"US","037",01/29/2012,"01","2012","0","037","3","","01","332",33.41667,"",,"0941",-94.25,"","TEXARKANA","05","","CANADA GOOSE","48","21","61",01/29/2012,"29","01","2012",1,1.58,"113842024","","N"
"1","07","8","0","41","3","",0,"0","00","2","","","","342",34.47417,"0912",-91.40972,"","06569","","4","1720","Canada Goose","113842025",07/07/2011,"07","07","2011","SW",194.3,"83","","N","E","",11,"US","315",09/20/2013,"09","2013","0","315","3","","01","324",32.75736,"",,"0940",-94.08758,"","Jefferson","05","","CANADIAN GOOSE","48","21","61",09/19/2013,"19","09","2013",3,3.25,"113842025","","N"
"1","07","8","0","41","3","",0,"0","00","2","","","","352",35.37333,"0925",-92.96861,"","06569","","4","1720","Canada Goose","113842487",06/28/2011,"28","06","2011","N",840.6,"50","","E","E","",11,"US","007",09/01/2012,"09","2012","0","007","2","","01","472",47.47356,"SUNNY SIDE ROAD",,"0944",-94.77353,"","Bemidji","05","","Unknown","27","21","07",09/01/2012,"01","09","2012",2,2.25,"113842487","","N"
"1","07","8","0","41","3","",0,"0","00","2","","","","352",35.37333,"0925",-92.96861,"","06569","","5","1720","Canada Goose","113842533",06/28/2011,"28","06","2011","N",772.4,"81","","E","E","",10,"US","013",09/01/2012,"09","2012","0","013","3","","01","455",45.91667,"",,"0975",-97.91667,"","HECLA","05","","CANADA GOOSE","46","21","61",09/01/2012,"01","09","2012",2,2.25,"113842533","","N"
"1","07","8","0","41","3","",0,"0","00","2","","","","352",35.37333,"0925",-92.96861,"","06569","","4","1720","Canada Goose","113842553",06/28/2011,"28","06","2011","N",751.5,"81","","E","E","lrm: D;",11,"US","037",09/08/2012,"09","2012","0","037","3","","01","453",45.64882,"wheat field",,"0974",-97.70931,"","Roslyn","05","","Large Canada Goose","46","21","07",09/08/2012,"08","09","2012",2,2.25,"113842553","","N"
"4","07","8","0","41","3","",0,"0","00","2","","","","352",35.48667,"0934",-93.82111,"","06569","","5","1720","Canada Goose","114824357",06/27/2012,"27","06","2012","NE",434.2,"34","","E","E","lrm: D;",11,"US","019",11/26/2014,"11","2014","0","019","2","","01","395",39.97148,"",,"0881",-88.24338,"","Champaign","05","","Canada Goose","17","21","07",11/26/2014,"26","11","2014",3,2.42,"114824357","","N"
