B AGE CODE,B AREA CODE,B BAND SIZE CODE,B BAND STATUS CODE,B BAND TYPE CODE,B BIRD STATUS,B COMMENTS,B COORD PRECISION,B DIRECTION CODE,B EXTRA INFO CODE,B FLYWAY CODE,B HOW AGED CODE,B HOW CAPTURED,B HOW SEXED CODE,B LAT,B LAT FLOAT,B LON,B LON FLOAT,B MARKER LONG DESC,B PERMIT NUM,B REMARKS,B SEX CODE,B SPECIES ID,B SPECIES NAME,BAND ID,BANDING DATE,BANDING DAY,BANDING MONTH,BANDING YEAR,BEARING,DISTANCE,E AREA CODE,E CAPTURE TIME,E CERTIFICATE FLAG,E CERTIFICATE LANGUAGE,E COMMENTS,E COORD PRECISION,E COUNTRY CODE,E COUNTY CODE,E CREATE DATE,E CREATE MONTH,E CREATE YEAR,E DIRECTION CODE,E ENC COUNTY ORIGINAL,E FLYWAY CODE,E HOW CAPTURED,E HOW OBTAINED CODE,E LAT,E LAT FLOAT,E LOCATION DESCRIPTION,E LOCATION ID,E LON,E LON FLOAT,E MARKER LONG DESC,E PLACE NAME,E PRESENT CONDITION CODE,E REMARKS,E SPECIES ID,E SPECIES NAME,E STATE CODE,E WHO OBTAINED CODE,E WHY REPORTED CODE,ENC PERMIT,ENCOUNTER DATE,ENCOUNTER DAY,ENCOUNTER MONTH,ENCOUNTER YEAR,HSS,MIN AGE AT ENC,ORIGINAL BAND,OTHER BANDS,SAME 10 MIN BLOCK,REC_SOURCE,ENC ERROR
2,82,8,0,11,3,,10,0,2,2,,,,354,35.75,842,-84.41667,,5796,,4,1720,Canada Goose,51875286,11/19/1962,19,11,1962,W,543.1,7,,9,E,B#20698; create date from C#0476,10,US,0,4/22/1976,4,1976,0,,2,,1,352,35.41667,,,940,-94.08333,<CLOB>,,5,,,,5,20,0,,1/12/1976,12,1,1976,14,13.58,51875286,,N,DB,
1,52,8,0,11,3,,10,0,0,2,,,,400,40.08333,951,-95.25,,6208,,0,1720,Canada Goose,51896739,11/8/1960,8,11,1960,S,406.9,7,,9,E,B#24493; C#0381; Create Date = 12/31 because we could not calculate accurate create date from cycle processed.,10,US,0,12/31/1981,12,1981,0,,2,,98,343,34.58333,,,923,-92.58333,<CLOB>,,2,,,,5,21,1,,11/8/1980,8,11,1980,99,,51896739,,N,DB,
4,45,8,0,11,3,,10,0,0,6,,,,582,58.41667,931,-93.25,,10271,,5,1720,Canada Goose,57818737,7/22/1971,22,7,1971,S,1594,7,,9,E,B#28063; C#3484,10,US,0,8/25/1984,8,1984,0,,2,,66,352,35.41667,,,901,-90.25,<CLOB>,,7,,,,5,22,1,,1/15/1984,15,1,1984,13,12.58,57818737,,N,DB,
4,45,8,0,11,3,,10,0,0,6,,,,582,58.41667,931,-93.25,,10271,,4,1720,Canada Goose,57818890,7/22/1971,22,7,1971,S,1671.2,7,,9,E,B#07799; create date from C#0272,10,US,0,2/29/1972,2,1972,0,,2,,54,341,34.25,,,911,-91.25,<CLOB>,,5,,,,5,22,1,,12/24/1971,24,12,1971,1,0.5,57818890,,N,DB,
5,7,8,0,18,3,,10,0,0,2,,,,341,34.25,910,-91.08333,,6254,,4,1720,Canada Goose,57809299,2/23/1973,23,2,1973,,0,7,,9,E,B#25900; C#2782; Create Date = 12/31 because we could not calculate accurate create date from cycle processed.,10,US,0,12/31/1982,12,1982,0,,2,,66,341,34.25,,,910,-91.08333,<CLOB>,,7,,,,5,22,1,,1/13/1982,13,1,1982,9,9.58,57809299,,Y,DB,
6,7,8,0,18,3,,10,0,0,2,,,,341,34.25,910,-91.08333,,6254,,4,1720,Canada Goose,57809415,3/5/1973,5,3,1973,N,46,7,,9,E,B#09022; create date from C#1273,10,US,0,12/31/1973,12,1973,0,,2,,3,345,34.91667,,,910,-91.08333,<CLOB>,,5,,,,5,21,1,,10/15/1973,15,10,1973,1,2.33,57809415,,N,DB,
1,45,8,0,11,3,,10,0,0,6,,,,582,58.41667,931,-93.25,,10271,,4,1720,Canada Goose,57819062,7/22/1971,22,7,1971,S,1611.1,7,,9,E,B#25011; C#0781; Create Date = 12/31 because we could not calculate accurate create date from cycle processed.,10,US,0,12/31/1981,12,1981,0,,2,,66,350,35.08333,,,930,-93.08333,<CLOB>,,7,,,,5,22,1,,1/3/1981,3,1,1981,10,10.58,57819062,,N,DB,
7,7,8,0,18,3,,10,0,0,2,,,,341,34.25,910,-91.08333,,6254,,5,1720,Canada Goose,57809470,1/31/1974,31,1,1974,NW,13.8,7,,E,E,lrm: D;;;,11,US,1,12/18/2012 16:15,12,2012,0,1,2,,1,342,34.41497,Shadwick Farm -- Wolf Island,,911,-91.22012,<CLOB>,Crocketts Bluff,5,Reporting Stanley's bands.,,Canada Goose,5,21,7,,,68,12,2012,99,,57809470,,N,DB,
5,7,8,0,18,3,,10,0,0,2,,,,341,34.25,910,-91.08333,,6254,,5,1720,Canada Goose,57809673,2/25/1974,25,2,1974,N,11.5,7,,9,E,B#22290; create date from C#0378,10,US,0,3/31/1978,3,1978,0,,2,,1,342,34.41667,,,910,-91.08333,<CLOB>,,3,,,,5,21,1,,,80,12,1977,99,,57809673,,N,DB,
5,7,8,0,18,3,,10,0,0,2,,,,341,34.25,910,-91.08333,,6254,,4,1720,Canada Goose,57809705,2/25/1974,25,2,1974,NE,93.4,7,,9,E,B#23274; C#0479,10,US,0,4/22/1979,4,1979,0,,2,,66,352,35.41667,,,901,-90.25,<CLOB>,,7,,,,5,22,1,,2/9/1979,9,2,1979,5,5.67,57809705,,N,DB,
5,7,8,0,18,3,,10,0,0,2,,,,341,34.25,910,-91.08333,,6254,,4,1720,Canada Goose,57809768,1/18/1977,18,1,1977,,0,7,,9,E,B#25010; C#0681; Create Date = 12/31 because we could not calculate accurate create date from cycle processed.,10,US,0,12/31/1981,12,1981,0,,2,,66,341,34.25,,,910,-91.08333,<CLOB>,,7,,,,5,22,1,,1/15/1981,15,1,1981,4,4.58,57809768,,Y,DB,
5,7,8,0,18,3,,10,0,0,2,,,,341,34.25,910,-91.08333,,6254,,5,1720,Canada Goose,57809769,1/18/1977,18,1,1977,N,11.5,7,,9,E,B#29849; C#3587,10,US,0,9/2/1987,9,1987,0,,2,,66,342,34.41667,,,910,-91.08333,<CLOB>,,7,,,,5,22,0,,1/21/1987,21,1,1987,10,10.58,57809769,,N,DB,
6,7,8,0,18,3,,10,0,2,2,,,,341,34.25,910,-91.08333,,6254,,4,1720,Canada Goose,57809941,1/11/1978,11,1,1978,W,30.8,7,,9,E,B#23115; C#0379,10,US,0,3/25/1979,3,1979,0,,2,,1,340,34.08333,,,913,-91.58333,<CLOB>,,3,,,,5,21,1,,1/17/1979,17,1,1979,1,2.58,57809941,,N,DB,
6,7,8,0,18,3,,10,0,2,2,,,,341,34.25,910,-91.08333,,6254,,5,1720,Canada Goose,57809955,1/11/1978,11,1,1978,NW,127.3,7,,9,E,B#23360; C#0879,10,US,0,8/12/1979,8,1979,0,,2,,29,350,35.08333,,,930,-93.08333,<CLOB>,,7,,,,5,22,1,,1/5/1979,5,1,1979,1,2.58,57809955,,N,DB,
1,40,8,0,18,3,,10,0,0,6,,,,643,64.58333,1000,-100.08333,,77,,0,1720,Canada Goose,57810252,7/5/1964,5,7,1964,S,1960.6,7,,9,E,B#03532; create date from C#0768,10,US,0,7/31/1968,7,1968,0,,2,,1,362,36.41667,,,940,-94.08333,<CLOB>,,3,,,,5,21,1,,1/11/1968,11,1,1968,4,4.58,57810252,,N,DB,
2,45,8,0,11,4,,10,0,0,6,,,,504,50.75,992,-99.41667,,3622,,5,1720,Canada Goose,57878821,7/18/1973,18,7,1973,SE,1145.7,7,,9,E,B#23161; C#0379,10,US,0,3/25/1979,3,1979,0,,2,,1,353,35.58333,,,900,-90.08333,<CLOB>,,5,,,,5,22,1,,1/15/1979,15,1,1979,6,5.58,57878821,,N,DB,
2,7,8,0,11,2,,10,0,10,2,,,,350,35.08333,930,-93.08333,,6228,,4,1720,Canada Goose,57893096,11/2/1965,2,11,1965,,0,7,,9,E,B#00000; create date from C#0366,10,US,0,3/31/1966,3,1966,0,,2,,0,350,35.08333,,,930,-93.08333,<CLOB>,,5,,,,5,22,1,,12/15/1965,15,12,1965,1,0.5,57893096,,Y,DB,
2,42,8,0,11,2,,10,0,10,2,,,,300,30.08333,925,-92.91667,,6228,,5,1720,Canada Goose,57895585,11/16/1965,16,11,1965,N,347.5,7,,9,E,B#21447; create date from C#0377,10,US,0,3/31/1977,3,1977,0,,2,,1,345,34.91667,,,911,-91.25,<CLOB>,,3,,,,5,21,1,,1/13/1977,13,1,1977,12,11.58,57895585,,N,DB,
2,7,8,0,18,2,,10,0,10,2,,,,350,35.08333,930,-93.08333,,6228,,5,1720,Canada Goose,57870524,11/10/1964,10,11,1964,,0,7,,9,E,B#00000; create date from C#0465,10,US,0,5/13/1965,5,1965,0,,2,,0,350,35.08333,,,930,-93.08333,<CLOB>,,3,,,,5,22,0,,1/6/1965,6,1,1965,1,0.58,57870524,,Y,DB,
2,7,8,0,18,2,,10,0,10,2,,,,350,35.08333,930,-93.08333,,6228,,5,1720,Canada Goose,57870525,11/10/1964,10,11,1964,,0,7,,9,E,B#00000; create date from C#0465,10,US,0,5/13/1965,5,1965,0,,2,,0,350,35.08333,,,930,-93.08333,<CLOB>,,3,,,,5,22,0,,12/14/1964,14,12,1964,1,0.5,57870525,,Y,DB,
2,7,8,0,18,2,,10,0,10,2,,,,350,35.08333,930,-93.08333,,6228,,5,1720,Canada Goose,57870531,11/10/1964,10,11,1964,,0,7,,9,E,B#00000; create date from C#0665,10,US,0,7/18/1965,7,1965,0,,2,,0,350,35.08333,,,930,-93.08333,<CLOB>,,3,,,,5,22,0,,3/22/1965,22,3,1965,1,0.75,57870531,,Y,DB,
2,7,8,0,18,2,,10,0,10,2,,,,350,35.08333,930,-93.08333,,6228,,5,1720,Canada Goose,57870764,11/10/1964,10,11,1964,,0,7,,9,E,B#00000; create date from C#0265,10,US,0,3/7/1965,3,1965,0,,2,,0,350,35.08333,,,930,-93.08333,<CLOB>,,3,,,,5,22,0,,11/22/1964,22,11,1964,1,0.42,57870764,,Y,DB,
2,7,8,0,11,2,,10,0,10,2,,,,350,35.08333,930,-93.08333,,6228,,4,1720,Canada Goose,57893256,11/2/1965,2,11,1965,,0,7,,9,E,B#00000; create date from C#0366,10,US,0,3/31/1966,3,1966,0,,2,,0,350,35.08333,,,930,-93.08333,<CLOB>,,5,,,,5,22,1,,11/25/1965,25,11,1965,1,0.42,57893256,,Y,DB,
2,7,8,0,11,2,,10,0,10,2,,,,350,35.08333,930,-93.08333,,6228,,4,1720,Canada Goose,57893296,11/2/1965,2,11,1965,N,11.5,7,,9,E,B#06450; create date from C#1170,10,US,0,11/30/1970,11,1970,0,,2,,98,351,35.25,,,930,-93.08333,<CLOB>,,2,,,,5,21,1,,,41,9,1970,99,,57893296,,N,DB,
