band_id,disposition,spp,age,sex,month,day,year,status
107821101,1,CAGO,AHY,F,7,7,2011,300
107821102,1,CAGO,AHY,F,7,7,2011,300
107821104,1,CAGO,AHY,F,7,7,2011,300
107821109,1,CAGO,AHY,F,7,7,2011,300
107821114,1,CAGO,AHY,F,7,7,2011,300
107821135,1,CAGO,AHY,F,7,7,2011,300
107821144,1,CAGO,AHY,F,7,7,2011,300
107821160,1,CAGO,AHY,F,7,7,2011,300
107821162,1,CAGO,AHY,F,7,7,2011,300
107821163,1,CAGO,AHY,F,7,7,2011,300
107821164,1,CAGO,AHY,F,7,7,2011,300
107821166,1,CAGO,AHY,F,7,7,2011,300
107821169,1,CAGO,AHY,F,7,7,2011,300
107821178,1,CAGO,AHY,F,7,7,2011,300
107821183,1,CAGO,AHY,F,7,7,2011,300
107821191,1,CAGO,AHY,F,7,7,2011,300
107821193,1,CAGO,AHY,F,7,7,2011,300
107822400,1,CAGO,AHY,F,6,27,2011,300
107822442,1,CAGO,AHY,F,6,21,2011,300
107822463,1,CAGO,AHY,F,6,21,2011,300
107822465,1,CAGO,AHY,F,6,21,2011,300
107822477,1,CAGO,AHY,F,6,21,2011,300
107822499,1,CAGO,AHY,F,6,21,2011,300
113831303,1,CAGO,AHY,F,6,21,2011,300
113831318,1,CAGO,AHY,F,6,21,2011,300
113831320,1,CAGO,AHY,F,6,21,2011,300
113831342,1,CAGO,AHY,F,6,21,2011,300
113831345,1,CAGO,AHY,F,6,21,2011,300
113831353,1,CAGO,AHY,F,6,21,2011,300
113831365,1,CAGO,AHY,F,6,21,2011,300
113831387,1,CAGO,AHY,F,6,27,2011,300
113831388,1,CAGO,AHY,F,6,27,2011,300
113831389,1,CAGO,AHY,F,6,27,2011,300
113831390,1,CAGO,AHY,F,6,27,2011,300
113831391,1,CAGO,AHY,F,6,27,2011,300
113831392,1,CAGO,AHY,F,6,27,2011,300
113831393,1,CAGO,AHY,F,6,27,2011,300
113831394,1,CAGO,AHY,F,6,27,2011,300
113831435,1,CAGO,AHY,F,6,27,2011,300
113831437,1,CAGO,AHY,F,6,27,2011,300
113831512,1,CAGO,AHY,F,6,27,2011,300
113831552,1,CAGO,AHY,F,6,27,2011,300
113831597,1,CAGO,AHY,F,6,27,2011,300
113831606,1,CAGO,AHY,F,6,27,2011,300
113831616,1,CAGO,AHY,F,6,27,2011,300
113831632,1,CAGO,AHY,F,6,27,2011,300
113831641,1,CAGO,AHY,F,6,27,2011,300
113831674,1,CAGO,AHY,F,6,27,2011,300
113831690,1,CAGO,AHY,F,6,27,2011,300
113831704,1,CAGO,AHY,F,6,27,2011,300
113831730,1,CAGO,AHY,F,6,28,2011,300
113831761,1,CAGO,AHY,F,6,28,2011,300
113831785,1,CAGO,AHY,F,6,28,2011,300
113831787,1,CAGO,AHY,F,6,28,2011,300
113831792,1,CAGO,AHY,F,6,28,2011,300
113831796,1,CAGO,AHY,F,6,28,2011,300
113831799,1,CAGO,AHY,F,6,28,2011,300
113842305,1,CAGO,AHY,F,6,28,2011,300
113842315,1,CAGO,AHY,F,6,28,2011,300
113842322,1,CAGO,AHY,F,6,28,2011,300
113842325,1,CAGO,AHY,F,6,28,2011,300
113842329,1,CAGO,AHY,F,6,28,2011,300
113842334,1,CAGO,AHY,F,6,28,2011,300
113842338,1,CAGO,AHY,F,6,28,2011,300
113842341,1,CAGO,AHY,F,6,28,2011,300
113842346,1,CAGO,AHY,F,6,28,2011,300
113842350,1,CAGO,AHY,F,6,28,2011,300
113842363,1,CAGO,AHY,F,6,28,2011,300
113842367,1,CAGO,AHY,F,6,28,2011,300
113842397,1,CAGO,AHY,F,6,28,2011,300
113842499,1,CAGO,AHY,F,6,28,2011,300
113842503,1,CAGO,AHY,F,6,28,2011,300
113842529,1,CAGO,AHY,F,6,28,2011,300
113842550,1,CAGO,AHY,F,6,28,2011,300
113842560,1,CAGO,AHY,F,6,28,2011,300
113842561,1,CAGO,AHY,F,6,28,2011,300
113842577,1,CAGO,AHY,F,6,28,2011,300
113842579,1,CAGO,AHY,F,6,28,2011,300
113842580,1,CAGO,AHY,F,6,28,2011,300
113842594,1,CAGO,AHY,F,6,28,2011,300
113842613,1,CAGO,AHY,F,6,28,2011,300
113842629,1,CAGO,AHY,F,6,28,2011,300
113842633,1,CAGO,AHY,F,6,28,2011,300
113842641,1,CAGO,AHY,F,6,28,2011,300
113842646,1,CAGO,AHY,F,6,28,2011,300
113842648,1,CAGO,AHY,F,6,28,2011,300
113842663,1,CAGO,AHY,F,6,28,2011,300
113842664,1,CAGO,AHY,F,6,28,2011,300
113842671,1,CAGO,AHY,F,6,28,2011,300
113842673,1,CAGO,AHY,F,6,28,2011,300
113842674,1,CAGO,AHY,F,6,28,2011,300
113842679,1,CAGO,AHY,F,6,28,2011,300
113842682,1,CAGO,AHY,F,6,28,2011,300
113842715,1,CAGO,AHY,F,7,1,2011,300
113842725,1,CAGO,AHY,F,7,1,2011,300
113842736,1,CAGO,AHY,F,7,1,2011,300
113842743,1,CAGO,AHY,F,7,1,2011,300
113842762,1,CAGO,AHY,F,7,1,2011,300
113842768,1,CAGO,AHY,F,7,1,2011,300
113842772,1,CAGO,AHY,F,7,1,2011,300
113842783,1,CAGO,AHY,F,7,1,2011,300
113842790,1,CAGO,AHY,F,7,1,2011,300
113842832,1,CAGO,AHY,F,7,1,2011,300
113842837,1,CAGO,AHY,F,7,1,2011,300
113842838,1,CAGO,AHY,F,7,1,2011,300
113842853,1,CAGO,AHY,F,7,1,2011,300
113842861,1,CAGO,AHY,F,7,1,2011,300
113842876,1,CAGO,AHY,F,7,1,2011,300
113842877,1,CAGO,AHY,F,7,1,2011,300
113842878,1,CAGO,AHY,F,7,1,2011,300
113842884,1,CAGO,AHY,F,7,1,2011,300
113842887,1,CAGO,AHY,F,7,1,2011,300
113842896,1,CAGO,AHY,F,7,1,2011,300
113842900,1,CAGO,AHY,F,7,1,2011,300
113842903,1,CAGO,AHY,F,7,1,2011,300
113842904,1,CAGO,AHY,F,7,1,2011,300
113842906,1,CAGO,AHY,F,7,1,2011,300
113842907,1,CAGO,AHY,F,7,1,2011,300
113842921,1,CAGO,AHY,F,7,7,2011,300
113842925,1,CAGO,AHY,F,7,7,2011,300
113842929,1,CAGO,AHY,F,7,7,2011,300
113842934,1,CAGO,AHY,F,7,7,2011,300
113842935,1,CAGO,AHY,F,7,7,2011,300
113842966,1,CAGO,AHY,F,7,7,2011,300
113842970,1,CAGO,AHY,F,7,7,2011,300
113842972,1,CAGO,AHY,F,7,7,2011,300
113843007,1,CAGO,AHY,F,7,7,2011,300
113843015,1,CAGO,AHY,F,7,7,2011,300
113843017,1,CAGO,AHY,F,7,7,2011,300
113843037,1,CAGO,AHY,F,7,7,2011,300
113843048,1,CAGO,AHY,F,7,7,2011,300
113843055,1,CAGO,AHY,F,7,7,2011,300
113843062,1,CAGO,AHY,F,7,7,2011,300
113843078,1,CAGO,AHY,F,7,7,2011,300
113843090,1,CAGO,AHY,F,7,7,2011,300
113843095,1,CAGO,AHY,F,7,7,2011,300
113831410,1,CAGO,L,F,6,27,2011,300
113831442,1,CAGO,L,F,6,27,2011,300
113831453,1,CAGO,L,M,6,27,2011,300
113831456,1,CAGO,L,M,6,27,2011,300
113831459,1,CAGO,L,M,6,27,2011,300
113831460,1,CAGO,L,M,6,27,2011,300
113831462,1,CAGO,L,F,6,27,2011,300
113831464,1,CAGO,L,F,6,27,2011,300
113831465,1,CAGO,L,F,6,27,2011,300
113831467,1,CAGO,L,F,6,27,2011,300
113831468,1,CAGO,L,M,6,27,2011,300
113831469,1,CAGO,L,F,6,27,2011,300
113831470,1,CAGO,L,F,6,27,2011,300
113831473,1,CAGO,L,F,6,27,2011,300
113831474,1,CAGO,L,F,6,27,2011,300
113831480,1,CAGO,L,F,6,27,2011,300
113831488,1,CAGO,L,F,6,27,2011,300
113831489,1,CAGO,L,F,6,27,2011,300
113831492,1,CAGO,L,M,6,27,2011,300
113831493,1,CAGO,L,M,6,27,2011,300
113831494,1,CAGO,L,M,6,27,2011,300
113831495,1,CAGO,L,F,6,27,2011,300
113831497,1,CAGO,L,F,6,27,2011,300
113831500,1,CAGO,L,M,6,27,2011,300
113831501,1,CAGO,L,F,6,27,2011,300
113831508,1,CAGO,L,F,6,27,2011,300
113831509,1,CAGO,L,M,6,27,2011,300
113831510,1,CAGO,L,F,6,27,2011,300
113831513,1,CAGO,L,F,6,27,2011,300
113831514,1,CAGO,L,F,6,27,2011,300
113831519,1,CAGO,L,M,6,27,2011,300
113831521,1,CAGO,L,F,6,27,2011,300
113831522,1,CAGO,L,M,6,27,2011,300
113831523,1,CAGO,L,F,6,27,2011,300
113831526,1,CAGO,L,M,6,27,2011,300
113831540,1,CAGO,L,M,6,27,2011,300
113831549,1,CAGO,L,M,6,27,2011,300
113831575,1,CAGO,L,M,6,27,2011,300
113842603,1,CAGO,L,F,6,28,2011,300
113842604,1,CAGO,L,F,6,28,2011,300
113842605,1,CAGO,L,M,6,28,2011,300
113842606,1,CAGO,L,M,6,28,2011,300
113842607,1,CAGO,L,M,6,28,2011,300
113842615,1,CAGO,L,F,6,28,2011,300
113842619,1,CAGO,L,F,6,28,2011,300
113842623,1,CAGO,L,M,6,28,2011,300
