band_id,encounter_year
888002,2005
888003,2005
888004,2005
888005,2005
888006,2005
888007,2005
888008,2005
888009,2005
888010,2005
888011,2005
888012,2005
888013,2005
888014,2005
888015,2005
888016,2005
888017,2005
888018,2005
888019,2005
888020,2005
888021,2005
888022,2005
888023,2005
888024,2005
888025,2005
888026,2005
888027,2005
888028,2005
888029,2005
888030,2005
888031,2005
888032,2005
888033,2005
888034,2005
888035,2005
888036,2005
888037,2005
888038,2005
888039,2005
888040,2005
888041,2005
888042,2005
888043,2005
888044,2005
888045,2005
888046,2005
888047,2005
888048,2005
888049,2005
888050,2005
888051,2005
888052,2005
888053,2005
888054,2005
888055,2005
888056,2005
888057,2005
888058,2005
888059,2005
888060,2005
888061,2005
888062,2005
888063,2005
888064,2005
888065,2005
888066,2005
888067,2005
888068,2005
888069,2005
888070,2005
888071,2005
888072,2005
888073,2005
888074,2005
888075,2005
888076,2005
888077,2005
888078,2005
888079,2005
888080,2005
888081,2005
888082,2005
888083,2005
888084,2005
888085,2005
888086,2005
888087,2005
888088,2005
888089,2005
888090,2005
888091,2005
888092,2005
888093,2005
888094,2005
888095,2005
888096,2005
888097,2005
888098,2005
888099,2005
888100,2005
888101,2005
888102,2005
888103,2005
888104,2005
888105,2005
888106,2005
888107,2005
888108,2005
888109,2005
888110,2005
888111,2005
888112,2005
888113,2005
888114,2005
888115,2005
888116,2005
888117,2005
888118,2005
888119,2005
888120,2005
888121,2005
888122,2005
888123,2005
888124,2005
888125,2005
888126,2005
888127,2005
888128,2005
888129,2005
888130,2005
888131,2005
888132,2005
888133,2005
888134,2005
888135,2005
888136,2005
888137,2005
888138,2005
888139,2005
888140,2005
888141,2005
888142,2005
888143,2005
888144,2005
888145,2005
888146,2005
888147,2005
888148,2005
888149,2005
888150,2005
888151,2005
888152,2005
888153,2005
888154,2005
888155,2005
888156,2005
888157,2005
888158,2005
888159,2005
888160,2005
888161,2005
888162,2005
888163,2005
888164,2005
888165,2005
888166,2005
888167,2005
888168,2005
888169,2005
888170,2005
888171,2005
888172,2005
888173,2005
888174,2005
888175,2005
888176,2005
888177,2005
888178,2005
888179,2005
888180,2005
888181,2005
888182,2005
888183,2005
888184,2005
888185,2005
888186,2005
888187,2005
888188,2005
888189,2005
888190,2005
888191,2005
888192,2005
888201,2005
888202,2005
888203,2005
888204,2005
888205,2005
888206,2005
888207,2005
888208,2005
888209,2005
888210,2005
888211,2005
888212,2005
888213,2005
888214,2005
888215,2005
888216,2005
888217,2005
888218,2005
888219,2005
888220,2005
888221,2005
888222,2005
888223,2005
888224,2005
888225,2005
888226,2005
888227,2005
888228,2005
888229,2005
888230,2005
888231,2005
888232,2005
888233,2005
888234,2005
888235,2005
888236,2005
888237,2005
888238,2005
888239,2005
888240,2005
888241,2005
888242,2005
888243,2005
888244,2005
888245,2005
888246,2005
888247,2005
888248,2005
888249,2005
888250,2005
888301,2005
888302,2005
