"banding_year","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","NA","total"
"2000",6,10,4,1,2,2,0,0,0,0,0,0,0,0,66,91
"2001",2,133,65,36,36,9,16,4,9,2,4,1,1,0,945,1263
"2002",0,110,133,87,70,36,34,14,10,14,5,4,0,2,1376,1895
"2003",0,0,36,60,56,32,14,6,13,7,4,4,2,1,760,995
"2004",0,0,0,31,83,29,32,22,18,14,8,4,7,3,874,1125
"2005",0,0,0,0,18,50,50,30,15,16,8,13,6,4,793,1003
"2006",0,0,0,0,0,23,114,59,48,44,23,14,9,8,980,1322
"2007",0,0,0,0,0,0,56,76,61,59,15,19,12,5,982,1285
"2008",0,0,0,0,0,0,0,44,94,59,25,33,22,16,1004,1297
"2009",0,0,0,0,0,0,0,0,26,58,50,59,23,12,1075,1303
"2010",0,0,0,0,0,0,0,0,0,44,64,77,54,31,1173,1443
"2011",0,0,0,0,0,0,0,0,0,0,52,99,75,50,1499,1775
"2012",0,0,0,0,0,0,0,0,0,0,0,41,89,45,1123,1298
"2013",0,0,0,0,0,0,0,0,0,0,0,0,28,46,814,888
"2014",0,0,0,0,0,0,0,0,0,0,0,0,0,68,1169,1237
"total",8,253,238,215,265,181,316,255,294,317,258,368,328,291,14633,18220
