"band_id","age","sex","2005","2006","2007","2008","2009","2010","2011","NA","cap"
91896102,1,4,0,0,0,0,0,0,1,0,"0000001"
91896106,1,5,0,0,1,0,0,0,0,0,"0010000"
91896129,1,5,0,0,1,0,0,0,0,0,"0010000"
91896142,1,5,0,0,1,0,0,0,0,0,"0010000"
91896154,1,4,0,1,0,0,0,0,0,0,"0100000"
91896169,1,5,1,0,0,0,0,0,0,0,"1000000"
91896176,1,5,0,0,1,0,0,0,0,0,"0010000"
91896180,1,4,1,0,0,0,0,0,0,0,"1000000"
91896188,1,4,1,0,0,0,0,0,0,0,"1000000"
91896207,4,5,0,0,0,0,1,0,0,0,"0000100"
91896216,1,4,1,0,0,0,0,0,0,0,"1000000"
91896219,1,4,1,0,0,0,0,0,0,0,"1000000"
91896223,1,4,0,0,0,1,0,0,0,0,"0001000"
91896224,4,4,0,0,0,1,0,0,0,0,"0001000"
91896225,4,4,0,0,1,0,0,0,0,0,"0010000"
91896255,4,5,1,0,0,0,0,0,0,0,"1000000"
91896258,1,5,1,0,0,0,0,0,0,0,"1000000"
91896269,1,5,0,1,0,0,0,0,0,0,"0100000"
91896270,1,4,0,0,0,0,0,1,0,0,"0000010"
91896274,1,4,0,0,0,0,0,1,0,0,"0000010"
95856515,1,5,0,1,0,0,0,0,0,0,"0100000"
95856518,1,5,0,1,0,0,0,0,0,0,"0100000"
95856527,1,5,0,1,0,0,0,0,0,0,"0100000"
95856545,1,4,1,0,0,0,0,0,0,0,"1000000"
95856549,1,4,0,1,0,0,0,0,0,0,"0100000"
95856561,1,4,0,0,0,0,0,0,1,0,"0000001"
95856562,1,5,1,0,0,0,0,0,0,0,"1000000"
95856574,2,4,0,1,0,0,0,0,0,0,"0100000"
95856576,2,4,1,0,0,0,0,0,0,0,"1000000"
95856595,1,4,0,0,0,1,0,0,0,0,"0001000"
95856600,1,4,0,0,1,0,0,0,0,0,"0010000"
95856637,1,5,1,0,0,0,0,0,0,0,"1000000"
95856648,1,5,1,0,0,0,0,0,0,0,"1000000"
95856697,1,5,0,0,1,0,0,0,0,0,"0010000"
95856701,4,5,0,0,1,0,0,0,0,0,"0010000"
95856724,4,5,0,0,0,0,0,1,0,0,"0000010"
95856725,1,4,0,0,0,0,0,1,0,0,"0000010"
95856726,1,4,0,0,0,0,0,1,0,0,"0000010"
95856727,1,4,0,0,0,0,0,1,0,0,"0000010"
95856728,1,4,0,0,0,0,0,1,0,0,"0000010"
95856729,1,4,0,0,0,0,0,1,0,0,"0000010"
95856730,1,5,0,0,0,0,0,1,0,0,"0000010"
95856731,1,4,0,0,0,0,0,1,0,0,"0000010"
95856732,1,4,0,0,0,0,0,1,0,0,"0000010"
95856733,1,4,0,0,0,0,0,1,0,0,"0000010"
95856734,1,4,0,0,0,0,0,1,0,0,"0000010"
95856735,1,4,0,0,0,0,0,1,0,0,"0000010"
95856736,2,5,0,0,0,0,0,1,0,0,"0000010"
95856737,1,4,0,0,0,0,0,1,0,0,"0000010"
95856738,1,5,0,0,0,0,0,1,0,0,"0000010"
95856739,1,4,0,0,0,0,0,1,0,0,"0000010"
95856740,1,4,0,0,0,0,0,1,0,0,"0000010"
95856741,1,4,0,0,0,0,0,1,1,0,"0000011"
95856742,1,5,0,0,0,0,0,1,0,0,"0000010"
95856743,4,4,0,0,0,0,0,1,0,0,"0000010"
95856744,1,4,0,0,0,0,0,1,0,0,"0000010"
95856745,1,5,0,0,0,0,0,1,0,0,"0000010"
95856750,1,4,0,0,0,0,0,1,0,0,"0000010"
95856772,1,5,0,1,0,0,0,0,0,0,"0100000"
95856819,1,5,0,0,0,0,1,0,0,0,"0000100"
95856848,1,5,0,0,1,0,0,0,0,0,"0010000"
95856851,1,4,0,0,0,1,0,0,0,0,"0001000"
95856864,1,4,0,1,0,0,0,0,0,0,"0100000"
95856921,1,5,0,0,0,0,0,0,1,0,"0000001"
95856940,4,5,1,0,0,0,0,0,0,0,"1000000"
95856957,1,4,0,0,0,0,1,0,0,0,"0000100"
95856970,1,5,1,0,0,0,0,0,0,0,"1000000"
95856971,1,5,0,0,0,0,1,0,0,0,"0000100"
95857060,1,5,0,0,0,0,0,0,1,0,"0000001"
95857081,1,5,0,0,0,0,1,0,1,0,"0000101"
95857105,1,5,0,0,0,0,0,1,0,0,"0000010"
95857110,1,5,1,0,0,0,0,0,0,0,"1000000"
95857125,1,5,1,0,0,0,0,0,0,0,"1000000"
95857135,1,5,0,0,0,1,0,0,0,0,"0001000"
95857149,1,5,0,1,0,0,0,0,0,0,"0100000"
95857151,1,5,1,0,0,0,0,0,0,0,"1000000"
95857174,1,4,0,0,0,0,1,0,0,0,"0000100"
95857261,1,4,0,0,0,0,1,0,0,0,"0000100"
95857265,4,4,0,0,1,0,0,0,0,0,"0010000"
95857269,1,5,0,0,0,1,0,0,0,0,"0001000"
95857275,4,5,1,0,0,0,0,0,0,0,"1000000"
95857280,1,5,0,0,1,0,0,0,0,0,"0010000"
95857293,1,5,1,0,0,0,0,0,0,0,"1000000"
95857296,1,4,0,0,0,0,1,0,0,0,"0000100"
95857305,1,5,0,0,1,0,0,0,0,0,"0010000"
95857311,1,4,1,0,0,0,0,0,0,0,"1000000"
95857319,1,5,0,1,0,0,0,0,0,0,"0100000"
95857322,1,5,1,0,0,0,0,0,0,0,"1000000"
95857327,1,4,0,0,0,1,0,0,0,0,"0001000"
95857337,4,5,0,1,0,0,0,0,0,0,"0100000"
95857364,1,4,0,1,0,0,0,0,0,0,"0100000"
95857366,1,5,0,0,1,0,0,0,0,0,"0010000"
95857373,1,4,1,0,0,0,0,0,0,0,"1000000"
95857380,1,5,0,1,0,0,0,0,0,0,"0100000"
95857381,1,5,0,1,0,0,0,0,0,0,"0100000"
95857409,1,5,1,0,0,0,0,0,0,0,"1000000"
95857417,1,5,0,0,0,0,1,0,0,0,"0000100"
95857418,1,5,1,0,0,0,0,0,0,0,"1000000"
95857424,1,5,0,0,0,1,0,0,0,0,"0001000"
95857434,1,5,0,0,0,0,0,0,1,0,"0000001"
95857436,1,5,1,0,0,0,0,0,0,0,"1000000"
95857437,1,5,1,0,0,0,0,0,0,0,"1000000"
95857445,1,5,0,1,0,0,0,0,0,0,"0100000"
95857457,1,5,0,0,0,0,1,0,0,0,"0000100"
95857465,1,5,0,0,1,0,0,0,0,0,"0010000"
95857469,4,5,1,0,0,0,0,0,0,0,"1000000"
95857479,4,5,0,0,0,0,1,0,0,0,"0000100"
95857482,1,5,1,0,0,0,0,0,0,0,"1000000"
95857483,1,4,0,0,0,0,0,1,0,0,"0000010"
95857487,1,5,0,0,1,0,0,0,0,0,"0010000"
95857492,4,5,1,0,0,0,0,0,0,0,"1000000"
95857494,4,5,1,0,0,0,0,0,0,0,"1000000"
95857528,1,5,1,0,0,0,0,0,0,0,"1000000"
95857529,1,4,0,0,0,0,0,1,0,0,"0000010"
95857553,1,4,1,0,0,0,0,0,0,0,"1000000"
95857555,1,4,0,0,0,0,0,1,0,0,"0000010"
95857558,1,5,0,0,0,0,0,1,0,0,"0000010"
95857610,1,5,1,0,0,0,0,0,0,0,"1000000"
