"","area","number"
"1","Alabama",5
"2","Alaska",1
"3","Alberta",1
"5","California",4
"6","Colorado",1
"7","Idaho",1
"8","Illinois",15
"9","Indiana",12
"10","Iowa",94
"11","Kansas",8
"12","Kentucky",8
"13","Maine",1
"14","Manitoba",63
"15","Maryland",1
"16","Massachusetts",1
"17","Michigan",9
"18","Minnesota",26
"19","Missouri",181
"20","Nebraska",5
"21","New Jersey",1
"22","New York",1
"23","Nunavut**",40
"24","Ohio",12
"25","Oklahoma",1
"26","Ontario",36
"27","Pennsylvania",1
"28","Quebec",7
"29","South Dakota",4
"30","Tennessee",30
"31","Virginia",1
"32","Wisconsin",21
