"band_id","b_age_code","b_sex_code","banding_day","banding_month","banding_year","encounter_year","e_present_condition_code","l_d","encounter_month"
91896207,4,5,24,6,2002,2007,1,"alive",NA
91896208,4,4,24,6,2002,2006,1,"alive",NA
91896215,1,4,24,6,2002,2006,1,"alive",NA
91896215,1,4,24,6,2002,2007,1,"alive",NA
91896230,1,4,24,6,2002,2006,1,"alive",NA
91896234,1,4,24,6,2002,2006,1,"alive",NA
91896236,1,4,24,6,2002,2008,1,"alive",NA
91896236,1,4,24,6,2002,2006,1,"alive",NA
91896241,4,5,24,6,2002,2006,1,"alive",NA
91896245,4,4,24,6,2002,2007,1,"alive",NA
91896245,4,4,24,6,2002,2008,1,"alive",NA
91896256,4,4,24,6,2002,2006,1,"alive",NA
91896287,1,5,24,6,2002,2006,1,"alive",NA
91896299,1,4,24,6,2002,2006,1,"alive",NA
95856514,1,4,18,6,2001,2006,1,"alive",NA
95856560,2,4,29,6,2004,2006,1720,"alive",NA
95856560,2,4,29,6,2004,2006,1720,"alive",NA
95856561,1,4,29,6,2004,2007,1720,"alive",NA
95856561,1,4,29,6,2004,2006,1720,"alive",NA
95856565,1,4,29,6,2004,2006,1720,"alive",NA
95856566,2,5,29,6,2004,2006,1720,"alive",NA
95856570,2,5,29,6,2004,2006,1720,"alive",NA
95856573,1,4,29,6,2004,2006,1720,"alive",NA
95856573,1,4,29,6,2004,2007,1720,"alive",NA
95856573,1,4,29,6,2004,2008,1720,"alive",NA
95856574,2,4,29,6,2004,2006,1720,"alive",NA
95856579,1,4,29,6,2004,2007,1720,"alive",NA
95856579,1,4,29,6,2004,2006,1720,"alive",NA
95856579,1,4,29,6,2004,2006,1720,"alive",NA
95856580,1,4,29,6,2004,2006,1720,"alive",NA
95856580,1,4,29,6,2004,2008,1720,"alive",NA
95856581,1,5,29,6,2004,2006,1720,"alive",NA
95856582,1,5,29,6,2004,2006,1720,"alive",NA
95856582,1,5,29,6,2004,2007,1720,"alive",NA
95856583,1,4,29,6,2004,2008,1720,"alive",NA
95856583,1,4,29,6,2004,2006,1720,"alive",NA
95856584,1,5,29,6,2004,2006,1720,"alive",NA
95856586,1,4,29,6,2004,2008,1720,"alive",NA
95856586,1,4,29,6,2004,2006,1720,"alive",NA
95856594,1,4,29,6,2004,2006,1720,"alive",NA
95856596,1,5,29,6,2004,2006,1720,"alive",NA
95856597,1,5,29,6,2004,2006,1720,"alive",NA
95856661,1,4,18,6,2001,2006,1,"alive",NA
95856687,1,4,18,6,2001,2007,1,"alive",NA
95856695,1,4,18,6,2001,2006,1,"alive",NA
95856773,1,4,18,6,2001,2008,1,"alive",NA
95856921,1,5,18,6,2001,2007,1,"alive",NA
95856944,4,5,19,6,2001,2006,1,"alive",NA
95856944,4,5,19,6,2001,2008,1,"alive",NA
95856953,1,5,19,6,2001,2006,1,"alive",NA
95856957,1,4,19,6,2001,2006,1,"alive",NA
95856971,1,5,19,6,2001,2006,1,"alive",NA
95856971,1,5,19,6,2001,2007,1,"alive",NA
95856977,1,5,19,6,2001,2008,1,"alive",NA
95856983,1,5,19,6,2001,2006,1,"alive",NA
95856988,1,5,19,6,2001,2008,1,"alive",NA
95857009,1,5,20,6,2001,2008,1,"alive",NA
95857009,1,5,20,6,2001,2007,1,"alive",NA
95857009,1,5,20,6,2001,2006,1,"alive",NA
95857028,1,5,20,6,2001,2008,1,"alive",NA
95857047,1,5,20,6,2001,2006,1,"alive",NA
95857047,1,5,20,6,2001,2008,1,"alive",NA
95857060,1,5,20,6,2001,2008,1,"alive",NA
95857097,1,5,20,6,2001,2007,1,"alive",NA
95857097,1,5,20,6,2001,2006,1,"alive",NA
95857108,1,4,20,6,2001,2010,1,"alive",NA
95857114,1,5,20,6,2001,2008,1,"alive",NA
95857114,1,5,20,6,2001,2006,1,"alive",NA
95857119,1,5,20,6,2001,2008,1,"alive",NA
95857130,1,4,20,6,2001,2007,1,"alive",NA
95857135,1,5,20,6,2001,2006,1,"alive",NA
95857135,1,5,20,6,2001,2008,1,"alive",NA
95857138,1,5,20,6,2001,2006,1,"alive",NA
95857144,1,4,20,6,2001,2008,1,"alive",NA
95857144,1,4,20,6,2001,2007,1,"alive",NA
95857150,1,5,20,6,2001,2006,1,"alive",NA
95857163,1,4,20,6,2001,2007,1,"alive",NA
95857163,1,4,20,6,2001,2008,1,"alive",NA
95857163,1,4,20,6,2001,2006,1,"alive",NA
95857216,1,4,24,6,2002,2008,1,"alive",NA
95857231,1,5,24,6,2002,2006,1,"alive",NA
95857327,1,4,24,6,2002,2006,1,"alive",NA
95857406,1,5,26,6,2002,2006,1,"alive",NA
95857423,1,4,26,6,2002,2007,1,"alive",NA
95857425,1,4,26,6,2002,2006,1,"alive",NA
95857448,1,5,26,6,2002,2006,1,"alive",NA
95857448,1,5,26,6,2002,2007,1,"alive",NA
95857456,1,5,26,6,2002,2006,1,"alive",NA
95857457,1,5,26,6,2002,2006,1,"alive",NA
95857457,1,5,26,6,2002,2007,1,"alive",NA
95857523,1,5,24,6,2002,2006,1,"alive",NA
95857524,1,5,24,6,2002,2006,1,"alive",NA
95857532,1,4,24,6,2002,2007,1,"alive",NA
95857545,1,5,24,6,2002,2007,1,"alive",NA
95857545,1,5,24,6,2002,2008,1,"alive",NA
95857554,1,5,24,6,2002,2006,1,"alive",NA
95857558,1,5,24,6,2002,2006,1,"alive",NA
95857570,4,4,24,6,2002,2008,1,"alive",NA
95857570,4,4,24,6,2002,2006,1,"alive",NA
95857572,4,5,24,6,2002,2006,1,"alive",NA
95857573,4,5,24,6,2002,2006,1,"alive",NA
95857576,1,4,24,6,2002,2006,1,"alive",NA
95857607,1,4,26,6,2002,2010,1,"alive",NA
95857614,1,4,26,6,2002,2010,1,"alive",NA
95857614,1,4,26,6,2002,2006,1,"alive",NA
95857740,1,4,26,6,2002,2008,1,"alive",NA
95857740,1,4,26,6,2002,2006,1,"alive",NA
95857773,1,4,26,6,2002,2007,1,"alive",NA
95857773,1,4,26,6,2002,2008,1,"alive",NA
95857778,1,4,26,6,2002,2007,1,"alive",NA
95857792,1,5,26,6,2002,2007,1,"alive",NA
95857798,4,5,26,6,2002,2008,1,"alive",NA
95857798,4,5,26,6,2002,2007,1,"alive",NA
95857826,1,4,25,6,2002,2010,1,"alive",NA
95857826,1,4,25,6,2002,2008,1,"alive",NA
95857826,1,4,25,6,2002,2006,1,"alive",NA
95857900,1,4,25,6,2002,2007,1,"alive",NA
