"band_id","b_age_code","b_sex_code","banding_day","banding_month","banding_year","encounter_year","e_present_condition_code","l_d","encounter_month"
91896101,2,5,25,6,2002,NA,1,"alive",NA
91896102,1,4,25,6,2002,NA,1,"alive",NA
91896103,1,4,25,6,2002,NA,1,"alive",NA
91896104,1,5,25,6,2002,NA,1,"alive",NA
91896105,1,4,25,6,2002,NA,1,"alive",NA
91896106,1,5,25,6,2002,NA,1,"alive",NA
91896107,1,4,25,6,2002,NA,1,"alive",NA
91896108,1,5,25,6,2002,NA,1,"alive",NA
91896109,1,4,25,6,2002,NA,1,"alive",NA
91896110,1,5,25,6,2002,NA,1,"alive",NA
91896111,1,5,25,6,2002,NA,1,"alive",NA
91896112,1,5,25,6,2002,NA,1,"alive",NA
91896113,1,4,25,6,2002,NA,1,"alive",NA
91896114,1,4,25,6,2002,NA,1,"alive",NA
91896115,1,4,25,6,2002,NA,1,"alive",NA
91896116,1,4,25,6,2002,NA,1,"alive",NA
91896117,1,5,25,6,2002,NA,1,"alive",NA
91896118,1,4,25,6,2002,NA,1,"alive",NA
91896119,1,4,25,6,2002,NA,1,"alive",NA
91896120,1,4,25,6,2002,NA,1,"alive",NA
91896121,1,4,25,6,2002,NA,1,"alive",NA
91896122,1,5,25,6,2002,NA,1,"alive",NA
91896123,1,4,25,6,2002,NA,1,"alive",NA
91896124,1,4,25,6,2002,NA,1,"alive",NA
91896125,1,5,25,6,2002,NA,1,"alive",NA
91896126,1,4,25,6,2002,NA,1,"alive",NA
91896127,1,4,25,6,2002,NA,1,"alive",NA
91896128,1,4,25,6,2002,NA,1,"alive",NA
91896129,1,5,25,6,2002,NA,1,"alive",NA
91896130,1,5,25,6,2002,NA,1,"alive",NA
91896131,1,4,25,6,2002,NA,1,"alive",NA
91896132,1,4,25,6,2002,NA,1,"alive",NA
91896133,1,5,25,6,2002,NA,1,"alive",NA
91896134,1,5,25,6,2002,NA,1,"alive",NA
91896135,1,5,25,6,2002,NA,1,"alive",NA
91896136,1,4,25,6,2002,NA,1,"alive",NA
91896137,1,5,25,6,2002,NA,1,"alive",NA
91896138,1,4,25,6,2002,NA,1,"alive",NA
91896139,1,5,25,6,2002,NA,1,"alive",NA
91896140,1,5,25,6,2002,NA,1,"alive",NA
91896141,1,4,25,6,2002,NA,1,"alive",NA
91896142,1,5,25,6,2002,NA,1,"alive",NA
91896143,1,5,25,6,2002,NA,1,"alive",NA
91896144,1,4,25,6,2002,NA,1,"alive",NA
91896145,1,5,25,6,2002,NA,1,"alive",NA
91896146,1,5,25,6,2002,NA,1,"alive",NA
91896147,1,4,25,6,2002,NA,1,"alive",NA
91896148,1,4,25,6,2002,NA,1,"alive",NA
91896149,1,5,25,6,2002,NA,1,"alive",NA
91896150,1,5,25,6,2002,NA,1,"alive",NA
91896151,1,4,25,6,2002,NA,1,"alive",NA
91896152,1,4,25,6,2002,NA,1,"alive",NA
91896153,1,4,25,6,2002,NA,1,"alive",NA
91896154,1,4,25,6,2002,NA,1,"alive",NA
91896155,1,4,25,6,2002,NA,1,"alive",NA
91896156,1,4,25,6,2002,NA,1,"alive",NA
91896157,1,5,25,6,2002,NA,1,"alive",NA
91896158,1,4,25,6,2002,NA,1,"alive",NA
