"band_id","b_age_code","b_sex_code","banding_day","banding_month","banding_year","state","encounter_day","encounter_month","encounter_year","e_present_condition_code","l_d"
114825262,4,4,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825263,1,4,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825268,1,4,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825269,1,5,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825275,4,5,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825277,1,5,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825281,4,5,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825283,1,4,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825284,1,5,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825289,1,5,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825290,1,4,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825353,1,5,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825358,1,4,27,6,2012,"AR",NA,NA,NA,7,"alive"
113842188,4,4,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842190,4,4,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842192,4,5,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842195,4,5,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842196,4,5,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842198,1,5,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842202,4,5,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842205,1,5,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842207,4,5,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842209,4,5,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842211,1,5,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842214,4,5,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842218,1,4,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842221,4,5,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842226,1,4,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842229,1,4,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842233,1,4,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842235,1,5,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842240,1,5,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842241,1,5,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842242,1,4,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842244,1,5,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842260,1,4,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842261,1,4,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842263,1,5,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842267,4,5,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842268,4,5,29,6,2011,"AR",NA,NA,NA,7,"alive"
113842106,1,5,24,6,2011,"AR",NA,NA,NA,7,"alive"
113842109,1,4,24,6,2011,"AR",NA,NA,NA,7,"alive"
113842110,4,5,24,6,2011,"AR",NA,NA,NA,7,"alive"
113842112,1,4,24,6,2011,"AR",NA,NA,NA,7,"alive"
113842115,1,4,24,6,2011,"AR",NA,NA,NA,7,"alive"
113842118,1,4,24,6,2011,"AR",NA,NA,NA,7,"alive"
113842133,4,5,24,6,2011,"AR",NA,NA,NA,7,"alive"
113842134,4,0,24,6,2011,"AR",NA,NA,NA,7,"alive"
113842138,4,5,24,6,2011,"AR",NA,NA,NA,7,"alive"
113842140,4,4,24,6,2011,"AR",NA,NA,NA,7,"alive"
103887059,1,5,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887065,1,4,24,6,2008,"AR",NA,NA,NA,7,"alive"
103874852,4,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874854,1,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874868,1,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874871,4,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874873,1,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874878,1,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874884,4,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874887,4,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874890,1,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874892,4,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874896,4,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874899,1,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874901,1,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103887043,1,4,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887055,1,5,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887081,1,4,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887083,1,4,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887084,1,4,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887093,1,5,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887097,1,4,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887098,1,4,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887102,1,4,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887108,1,4,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887110,1,4,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887112,1,5,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887121,1,4,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887122,1,5,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887127,1,5,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887128,1,4,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887132,4,5,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887145,1,4,24,6,2008,"AR",NA,NA,NA,7,"alive"
