"band_id","b_age_code","b_sex_code","banding_day","banding_month","banding_year","l_d"
107821101,1,5,7,7,2011,"alive"
107821102,1,5,7,7,2011,"alive"
107821104,1,5,7,7,2011,"alive"
107821109,1,5,7,7,2011,"alive"
107821114,1,5,7,7,2011,"alive"
107821135,1,5,7,7,2011,"alive"
107821144,1,5,7,7,2011,"alive"
107821160,1,5,7,7,2011,"alive"
107821162,1,5,7,7,2011,"alive"
107821163,1,5,7,7,2011,"alive"
107821164,1,5,7,7,2011,"alive"
107821166,1,5,7,7,2011,"alive"
107821169,1,5,7,7,2011,"alive"
107821178,1,5,7,7,2011,"alive"
107821183,1,5,7,7,2011,"alive"
107821191,1,5,7,7,2011,"alive"
107821193,1,5,7,7,2011,"alive"
107822400,1,5,27,6,2011,"alive"
107822442,1,5,21,6,2011,"alive"
107822463,1,5,21,6,2011,"alive"
107822465,1,5,21,6,2011,"alive"
107822477,1,5,21,6,2011,"alive"
107822499,1,5,21,6,2011,"alive"
113831303,1,5,21,6,2011,"alive"
113831318,1,5,21,6,2011,"alive"
113831320,1,5,21,6,2011,"alive"
113831342,1,5,21,6,2011,"alive"
113831345,1,5,21,6,2011,"alive"
113831353,1,5,21,6,2011,"alive"
113831365,1,5,21,6,2011,"alive"
113831387,1,5,27,6,2011,"alive"
113831388,1,5,27,6,2011,"alive"
113831389,1,5,27,6,2011,"alive"
113831390,1,5,27,6,2011,"alive"
113831391,1,5,27,6,2011,"alive"
113831392,1,5,27,6,2011,"alive"
113831393,1,5,27,6,2011,"alive"
113831394,1,5,27,6,2011,"alive"
113831435,1,5,27,6,2011,"alive"
113831437,1,5,27,6,2011,"alive"
113831512,1,5,27,6,2011,"alive"
113831552,1,5,27,6,2011,"alive"
113831597,1,5,27,6,2011,"alive"
113831606,1,5,27,6,2011,"alive"
113831616,1,5,27,6,2011,"alive"
113831632,1,5,27,6,2011,"alive"
113831641,1,5,27,6,2011,"alive"
113831674,1,5,27,6,2011,"alive"
113831690,1,5,27,6,2011,"alive"
113831704,1,5,27,6,2011,"alive"
113831730,1,5,28,6,2011,"alive"
113831761,1,5,28,6,2011,"alive"
113831785,1,5,28,6,2011,"alive"
113831787,1,5,28,6,2011,"alive"
113831792,1,5,28,6,2011,"alive"
113831796,1,5,28,6,2011,"alive"
113831799,1,5,28,6,2011,"alive"
113842305,1,5,28,6,2011,"alive"
113842315,1,5,28,6,2011,"alive"
113842322,1,5,28,6,2011,"alive"
113842325,1,5,28,6,2011,"alive"
113842329,1,5,28,6,2011,"alive"
113842334,1,5,28,6,2011,"alive"
113842338,1,5,28,6,2011,"alive"
113842341,1,5,28,6,2011,"alive"
113842346,1,5,28,6,2011,"alive"
113842350,1,5,28,6,2011,"alive"
113842363,1,5,28,6,2011,"alive"
113842367,1,5,28,6,2011,"alive"
113842397,1,5,28,6,2011,"alive"
113842499,1,5,28,6,2011,"alive"
113842503,1,5,28,6,2011,"alive"
113842529,1,5,28,6,2011,"alive"
113842550,1,5,28,6,2011,"alive"
113842560,1,5,28,6,2011,"alive"
113842561,1,5,28,6,2011,"alive"
113842577,1,5,28,6,2011,"alive"
113842579,1,5,28,6,2011,"alive"
113842580,1,5,28,6,2011,"alive"
113842594,1,5,28,6,2011,"alive"
113842613,1,5,28,6,2011,"alive"
113842629,1,5,28,6,2011,"alive"
113842633,1,5,28,6,2011,"alive"
113842641,1,5,28,6,2011,"alive"
113842646,1,5,28,6,2011,"alive"
113842648,1,5,28,6,2011,"alive"
113842663,1,5,28,6,2011,"alive"
113842664,1,5,28,6,2011,"alive"
113842671,1,5,28,6,2011,"alive"
113842673,1,5,28,6,2011,"alive"
113842674,1,5,28,6,2011,"alive"
113842679,1,5,28,6,2011,"alive"
113842682,1,5,28,6,2011,"alive"
113842715,1,5,1,7,2011,"alive"
113842725,1,5,1,7,2011,"alive"
113842736,1,5,1,7,2011,"alive"
113842743,1,5,1,7,2011,"alive"
