add_info,b_age,b_coord_prec,b_day,b_dir,b_flyway,b_lat,b_long,b_month,b_region,b_year,band,band_type,current_band_type,b_lat_gis,b_long_gis,r_lat_gis,r_long_gis,how_obt,season_surv,permit,pres_cod,r_coord_pres,r_create_month,r_create_year,r_day,r_dir,r_flyway,r_lat,r_long,r_month,r_region,r_year,replaced_band_code,band,spp_num,status,who,why,age,b_month,b_state,live_dead,flyway,r_month,r_region,r_state,sex,species
0,1,10,28,0,2,351,931,6,7,2002,97888885,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,3,10,10,2002,5,0,2,351,930,10,7,2002,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Female,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888858,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,3,10,1,2003,10,0,2,351,930,1,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Male,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888897,1,1,35.25,-93.25,34.91667,-92.41667,1,1,6569,3,10,10,2002,5,0,2,345,922,10,7,2002,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Male,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888765,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,3,10,10,2002,5,0,2,351,930,10,7,2002,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Male,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888862,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,3,10,1,2003,16,0,2,351,930,1,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Female,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888758,1,1,35.25,-93.25,35.41667,-93.41667,1,1,6569,3,10,2,2003,29,0,2,352,932,1,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Female,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888727,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,3,10,1,2003,16,0,2,351,930,1,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Female,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888775,1,1,35.25,-93.25,35.25,-92.91667,1,1,6569,3,10,2,2003,25,0,2,351,925,1,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Male,CAGO
0,4,10,27,0,2,351,930,6,7,2002,95856551,1,1,35.25,-93.08333,35.25,-93.08333,1,1,6569,3,10,10,2002,5,0,2,351,930,10,7,2002,0,Original,1720,3,21,6,Local,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Female,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888702,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,3,10,10,2002,8,0,2,351,930,10,7,2002,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Female,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888874,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,3,10,2,2003,15,0,2,351,930,1,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Female,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888728,1,1,35.25,-93.25,35.25,-92.91667,1,1,6569,3,10,1,2003,18,0,2,351,925,1,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Female,CAGO
0,1,10,24,0,2,352,934,6,7,2002,95857518,1,1,35.41667,-93.75,35.41667,-93.75,1,1,6569,3,10,10,2002,9,0,2,352,934,10,7,2002,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Female,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888807,1,1,35.25,-93.25,35.58333,-93.25,1,1,6569,3,10,10,2002,5,0,2,353,931,10,7,2002,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Female,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888859,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,5,10,10,2002,5,0,2,351,930,10,7,2002,0,Original,1720,3,21,7,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Female,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888734,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,3,10,1,2003,9,0,2,351,930,1,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Female,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888711,1,1,35.25,-93.25,35.41667,-93.41667,1,1,6569,3,10,10,2002,10,0,2,352,932,10,7,2002,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Female,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888710,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,3,10,1,2003,9,0,2,351,930,1,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Male,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888770,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,3,10,1,2003,17,0,2,351,930,1,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Female,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888750,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,3,10,1,2003,9,0,2,351,930,1,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Male,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888871,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,3,10,1,2003,18,0,2,351,930,1,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Female,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888895,1,1,35.25,-93.25,35.41667,-92.91667,1,1,6569,5,10,10,2002,6,0,2,352,925,10,7,2002,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Male,CAGO
0,4,10,28,0,2,351,931,6,7,2002,97888701,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,3,10,1,2003,25,0,2,351,930,1,7,2003,0,Original,1720,3,21,6,Local,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Male,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888891,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,3,10,1,2003,9,0,2,351,930,1,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Male,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888716,1,1,35.25,-93.25,35.41667,-93.58333,1,1,6569,3,10,10,2002,6,0,2,352,933,10,7,2002,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Female,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888767,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,3,10,12,2002,13,0,2,351,930,10,7,2002,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Male,CAGO
0,1,10,28,0,2,351,931,6,7,2002,97888811,1,1,35.25,-93.25,35.08333,-92.41667,1,1,6569,3,10,10,2002,13,0,2,350,922,10,7,2002,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Female,CAGO
