"","band","sex","age","ch"
"1",91896102,4,1,"0000001"
"2",91896106,5,1,"0010000"
"3",91896129,5,1,"0010000"
"4",91896142,5,1,"0010000"
"5",91896154,4,1,"0100000"
"6",91896169,5,1,"1000000"
"7",91896176,5,1,"0010000"
"8",91896180,4,1,"1000000"
"9",91896188,4,1,"1000000"
"10",91896207,5,4,"0000100"
"11",91896216,4,1,"1000000"
"12",91896219,4,1,"1000000"
"13",91896223,4,1,"0001000"
"14",91896224,4,4,"0001000"
"15",91896225,4,4,"0010000"
"16",91896255,5,4,"1000000"
"17",91896258,5,1,"1000000"
"18",91896269,5,1,"0100000"
"19",91896270,4,1,"0000010"
"20",91896274,4,1,"0000010"
"21",95856515,5,1,"0100000"
"22",95856518,5,1,"0100000"
"23",95856527,5,1,"0100000"
"24",95856545,4,1,"1000000"
"25",95856549,4,1,"0100000"
"26",95856561,4,1,"0000001"
"27",95856562,5,1,"1000000"
"28",95856574,4,2,"0100000"
"29",95856576,4,2,"1000000"
"30",95856595,4,1,"0001000"
"31",95856600,4,1,"0010000"
"32",95856637,5,1,"1000000"
"33",95856648,5,1,"1000000"
"34",95856697,5,1,"0010000"
"35",95856701,5,4,"0010000"
"36",95856724,5,4,"0000010"
"37",95856725,4,1,"0000010"
"38",95856726,4,1,"0000010"
"39",95856727,4,1,"0000010"
"40",95856728,4,1,"0000010"
"41",95856729,4,1,"0000010"
"42",95856730,5,1,"0000010"
"43",95856731,4,1,"0000010"
"44",95856732,4,1,"0000010"
"45",95856733,4,1,"0000010"
"46",95856734,4,1,"0000010"
"47",95856735,4,1,"0000010"
"48",95856736,5,2,"0000010"
"49",95856737,4,1,"0000010"
"50",95856738,5,1,"0000010"
"51",95856739,4,1,"0000010"
"52",95856740,4,1,"0000010"
"53",95856741,4,1,"0000011"
"54",95856742,5,1,"0000010"
"55",95856743,4,4,"0000010"
"56",95856744,4,1,"0000010"
"57",95856745,5,1,"0000010"
"58",95856750,4,1,"0000010"
"59",95856772,5,1,"0100000"
"60",95856819,5,1,"0000100"
"61",95856848,5,1,"0010000"
"62",95856851,4,1,"0001000"
"63",95856864,4,1,"0100000"
"64",95856921,5,1,"0000001"
"65",95856940,5,4,"1000000"
"66",95856957,4,1,"0000100"
"67",95856970,5,1,"1000000"
"68",95856971,5,1,"0000100"
"69",95857060,5,1,"0000001"
"70",95857081,5,1,"0000101"
"71",95857105,5,1,"0000010"
"72",95857110,5,1,"1000000"
"73",95857125,5,1,"1000000"
"74",95857135,5,1,"0001000"
"75",95857149,5,1,"0100000"
"76",95857151,5,1,"1000000"
"77",95857174,4,1,"0000100"
"78",95857261,4,1,"0000100"
"79",95857265,4,4,"0010000"
"80",95857269,5,1,"0001000"
"81",95857275,5,4,"1000000"
"82",95857280,5,1,"0010000"
"83",95857293,5,1,"1000000"
"84",95857296,4,1,"0000100"
"85",95857305,5,1,"0010000"
"86",95857311,4,1,"1000000"
"87",95857319,5,1,"0100000"
"88",95857322,5,1,"1000000"
"89",95857327,4,1,"0001000"
"90",95857337,5,4,"0100000"
"91",95857364,4,1,"0100000"
"92",95857366,5,1,"0010000"
"93",95857373,4,1,"1000000"
"94",95857380,5,1,"0100000"
"95",95857381,5,1,"0100000"
"96",95857409,5,1,"1000000"
"97",95857417,5,1,"0000100"
"98",95857418,5,1,"1000000"
"99",95857424,5,1,"0001000"
"100",95857434,5,1,"0000001"
"101",95857436,5,1,"1000000"
"102",95857437,5,1,"1000000"
"103",95857445,5,1,"0100000"
"104",95857457,5,1,"0000100"
"105",95857465,5,1,"0010000"
"106",95857469,5,4,"1000000"
"107",95857479,5,4,"0000100"
"108",95857482,5,1,"1000000"
"109",95857483,4,1,"0000010"
"110",95857487,5,1,"0010000"
"111",95857492,5,4,"1000000"
"112",95857494,5,4,"1000000"
"113",95857528,5,1,"1000000"
"114",95857529,4,1,"0000010"
"115",95857553,4,1,"1000000"
"116",95857555,4,1,"0000010"
"117",95857558,5,1,"0000010"
"118",95857610,5,1,"1000000"
"119",95857627,5,1,"0001000"
"120",95857629,4,1,"1000000"
"121",95857636,4,1,"0001000"
"122",95857661,5,4,"0100000"
"123",95857672,4,1,"0100000"
"124",95857676,4,1,"1000000"
"125",95857684,5,4,"0100000"
"126",95857690,4,1,"1000000"
"127",95857705,5,1,"1000000"
"128",95857707,5,1,"0000100"
"129",95857715,5,1,"1000000"
"130",95857720,5,1,"1000000"
"131",95857740,4,1,"0000010"
"132",95857743,4,1,"1000000"
"133",95857785,4,1,"0010000"
"134",95857808,4,1,"0100000"
"135",95857824,5,1,"0100000"
"136",95857831,4,1,"0000010"
"137",95857843,5,1,"1000000"
"138",95857846,4,1,"0001000"
"139",95857873,4,1,"0000010"
"140",95857938,5,1,"0000010"
"141",95857941,4,1,"1000000"
"142",95857943,5,1,"1000000"
"143",95857945,4,1,"1000000"
"144",95857954,5,1,"0010000"
"145",95857956,4,1,"0000100"
"146",95857962,5,1,"0100000"
"147",95857979,5,1,"0100000"
"148",95857985,5,1,"0010000"
"149",95858000,4,1,"0010000"
"150",95858004,4,1,"0010000"
"151",95858023,4,1,"0010000"
"152",95858063,4,1,"0100000"
"153",95858067,5,1,"0100000"
"154",95858075,4,1,"1000000"
"155",95858101,4,1,"0100000"
"156",95858125,5,1,"0001000"
"157",95858154,4,1,"0000010"
"158",95858157,4,1,"0000100"
"159",95858168,4,1,"1000000"
"160",95858169,4,1,"0000100"
"161",95858187,4,1,"0010000"
"162",95858190,5,1,"0010000"
"163",95858195,5,1,"0010000"
"164",95858203,4,1,"1000000"
"165",95858206,4,1,"1000000"
"166",95858255,5,1,"0100000"
"167",95858266,4,1,"0001000"
"168",95858279,4,1,"1000000"
"169",95858306,5,1,"1000000"
"170",95858312,4,1,"0100000"
"171",95858327,5,1,"0100000"
"172",95858333,5,1,"0100000"
"173",95858351,5,1,"0010000"
"174",95858394,5,4,"0000001"
"175",95858406,5,1,"0100000"
"176",95858426,4,1,"0010000"
"177",95858439,5,1,"1000000"
"178",95858452,5,1,"1000000"
"179",95858454,4,1,"1000000"
"180",95858456,5,1,"0000100"
"181",95858482,5,1,"0010000"
"182",95858496,4,1,"1000000"
"183",95858499,5,1,"0000100"
"184",96897801,4,1,"0100000"
"185",96897802,4,1,"0100000"
