"banding_year","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","NA","total"
"2000",3,3,2,0,1,0,0,0,0,0,0,0,0,0,18,27
"2003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"2004",0,0,0,2,6,4,8,3,2,0,2,1,0,0,106,134
"2005",0,0,0,0,0,2,5,5,3,4,0,0,0,0,75,94
"2006",0,0,0,0,0,2,4,0,2,3,0,0,0,0,24,35
"2009",0,0,0,0,0,0,0,0,5,5,5,7,3,2,110,137
"2010",0,0,0,0,0,0,0,0,0,10,2,11,3,2,67,95
"2012",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
"2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"total",3,3,2,2,7,8,17,8,12,22,9,19,6,5,405,528
