"ch","sex","age"
"000000001000",5,4
"000000001100",4,1
"000000001000",4,1
"000000001000",4,1
"000000001000",4,1
"000000001000",4,1
"000000001000",5,1
"000000001000",4,1
"000000001000",4,1
"000000001000",4,1
"000000001000",4,1
"000000001100",4,1
"000000001000",5,2
"000000001000",4,1
"000000001000",5,1
"000000001100",4,1
"000000001000",4,1
"000000001100",4,1
"000000001000",5,1
"000000001000",4,4
"000000001100",4,1
"000000001000",5,1
"000000001000",4,1
"000000100010",5,1
"100000000000",4,1
"100000000000",4,1
"100000000000",4,1
"100000000000",5,1
"100000000000",4,1
"100000000000",4,1
"110000000000",4,1
"110000000000",4,1
"110000000000",5,1
"100000000000",5,1
"100000000000",4,1
"100000000000",4,1
"100000000000",4,1
"110000000000",5,1
"100000000000",5,1
"100000000000",4,1
"100000000000",4,1
"100000000000",5,1
"100000000000",5,1
"100000000000",5,1
"110000000000",4,1
"100000000000",4,1
"100000000000",5,1
"100000000000",4,1
"100000000000",4,1
"100000000000",4,1
"100000000000",4,1
"100000000000",4,1
"110000000000",5,1
"110000000000",5,1
"100000000000",5,1
"100000000000",5,1
"100000000000",4,2
"100000000000",4,1
"110000000000",4,2
"100000000000",5,1
"110000000000",4,2
"110000000000",4,1
"100000000000",5,2
"100000000000",4,1
"100000000000",5,1
"100000000000",5,2
"100000000000",5,1
"100000000000",4,1
"110000000000",5,1
"110000000000",4,1
"100000000000",5,1
"100000000000",4,1
"110000000000",5,1
"100000000000",4,2
"100000000000",4,2
"100000000000",4,1
"100000000000",5,1
"100000000000",5,2
"110000000000",4,2
"100000000000",4,1
"100000000000",4,1
"100000000000",4,1
"110000000000",5,2
"100000000000",5,1
"100000000000",4,1
"100000000000",5,2
"100000000000",5,1
"100000000000",5,1
"100000000000",4,1
"100000000000",4,1
"110000000000",5,1
"100000000000",5,2
"110000000000",4,2
"100000000000",4,1
"110000000000",5,1
"100000000000",4,1
"110000000000",4,2
"100000000000",4,1
"110000000000",5,2
"100000000000",4,1
"100000000000",5,2
"100000000000",5,1
"100000000000",4,1
"100000000000",4,2
"110000000000",4,1
"100000000000",4,1
"110000000000",5,1
"100000000000",5,1
"100000000000",4,2
"100000000000",5,1
"110000000000",4,1
"110000000000",5,1
"100000000000",4,1
"100000000000",4,2
"100000000000",5,1
"110000000000",5,1
"100000000000",5,2
"100000000000",5,2
"100000000000",4,2
"100000000000",4,1
"100000000000",5,1
"110000000000",5,2
"110000000000",5,1
"110000000000",5,1
"000000000010",5,1
"100000000000",4,1
"000000000010",5,1
"100000000000",5,1
"100000000000",4,1
"000000000010",4,1
"000000100000",4,4
"000000100000",5,1
"000000100000",4,1
"000000100000",4,1
"000000100000",4,1
"000000110000",4,1
"000000100000",4,1
"000000100000",4,1
"000000100000",4,1
"000000100000",4,1
"000000100000",4,1
"000000100000",5,1
"000000110000",5,1
"000000100000",4,1
"000000100000",4,1
"000000100000",4,1
"000000100000",4,1
"000000100000",4,2
"000000100000",4,1
"000000100000",4,1
"000000100000",5,1
"000000100000",4,1
"000000100000",4,1
"000000100000",4,1
"000000110000",5,1
"000000110000",4,1
"000000100000",4,1
"000000100000",5,1
"000000100000",4,1
"000000110000",4,1
"000000100000",4,1
"000000100000",4,1
"000000100000",4,1
"000000100000",5,1
"000000100000",4,1
"000000100000",4,1
"000000100000",5,2
"000000100000",5,1
"000000100000",5,1
"000000100000",4,1
"000000110000",4,1
"000000100000",4,1
"000000100000",4,1
"000000100000",5,1
"000000100000",5,1
"000000100000",5,1
"000000100000",5,1
"000000100000",5,1
"000000110000",5,1
"000000100000",4,1
"000000100000",4,1
"000000110000",5,1
"000000100000",4,1
"000000110000",4,4
"000000110000",5,2
"000000110000",5,4
"000000100000",5,4
"000000100000",5,4
"000000100000",4,4
"000000100000",5,2
"000000100000",4,2
"000000100000",4,1
"000000100000",4,2
"000000100000",5,2
"000000100000",4,4
"000000110000",4,4
"000000100000",5,2
"000000100000",5,2
"000000100000",5,4
"000000100000",5,4
"000000100000",4,2
"000000100000",5,4
"000000100000",4,2
"000000100000",5,4
"000000110000",5,4
"000000100000",4,2
"000000100000",5,2
"000000100000",4,4
"000000100000",5,2
"000000100000",5,4
"000000100000",4,2
"000000100000",5,1
"000000110000",4,1
"000000100000",4,1
"000000110000",4,1
"000000100000",4,1
"000000100000",4,1
"000000100000",5,1
"000000100000",4,1
"000000100000",4,1
"000000100000",5,1
"000000100000",4,1
"000000100000",4,1
"000000100000",4,1
"000000100000",4,1
"000000100000",5,1
"000000100000",4,1
"000000100000",4,1
"000000110000",4,1
"000000110000",5,1
"000000100000",5,1
"000000110000",4,1
"000000100000",4,1
"000000110000",4,2
"000000110000",5,1
"000000100000",4,1
"000000100000",4,1
"000000110000",5,1
"000000100000",4,1
"000000100000",5,1
"000000100000",4,1
"000000100000",5,1
"000000100000",5,1
"000000110000",5,1
"000000100000",4,1
"000000100000",5,1
"000000110000",4,1
"000000100000",4,1
"000000100000",4,1
"000000100000",5,1
"000000100000",5,1
"000000100000",5,1
"000000100000",5,1
"000000100000",4,1
"000000110000",4,1
"000000100000",5,2
"000000100000",4,1
"000000110000",5,1
"000000100000",4,1
"000000100000",5,1
"000000100000",5,1
"000000100000",5,2
"000000100000",5,2
"000000100000",4,4
"000000100000",5,1
"000000100000",4,2
"000000110000",4,1
"000000100000",5,1
"000000100000",4,1
"000000100000",4,2
"000000100000",5,4
"000000100000",4,2
"000000110000",4,1
"000000100000",4,1
"000000001001",4,1
"000000100000",5,4
"000000100000",4,4
"000000100000",5,4
"000000100000",5,4
"000000100000",4,4
"000000100000",4,4
"000000100000",5,4
"000000100000",4,4
"000000100000",4,4
"000000100000",5,4
"000000110000",5,1
"000000100000",4,1
"000000110000",4,1
"000000100000",4,1
"000000100000",4,1
"000000100000",5,1
"000000110000",5,2
"000000100000",5,2
"000000100000",5,1
"000000100000",5,1
"000000101000",4,1
"000000100000",5,1
"000000100000",5,2
"000000100000",5,2
"000000100000",5,1
"000000100000",5,2
"000000110000",5,1
"000000100000",5,2
"000000100000",5,1
"000000100000",4,1
"000000100000",5,1
"000000100000",5,2
"000000110000",4,2
"000000100000",5,1
"000000110000",4,2
"000000100000",5,2
"000000110000",4,2
"000000100000",5,2
"000000100000",4,2
"000000110000",5,2
"000000100000",4,2
"000000100000",5,2
"000000100000",4,2
"000000110000",5,2
"000000100000",5,2
"000000110000",4,2
"000000100000",5,2
"000000100000",5,2
"000000100000",5,2
"000000110000",5,2
"000000100000",5,2
"000000100000",5,2
"000000110000",5,2
"000000100000",5,2
"000000100000",5,2
"000000100000",5,1
"000000100000",5,1
"000000100000",5,1
"000000100000",4,1
"000000100000",4,1
"000000100000",5,1
"000000110000",5,1
"001000000000",4,1
"000000000010",5,1
"000010000000",4,1
"000000100000",4,1
"000000110000",4,1
"000000110000",5,1
"000000110000",5,4
"000000100000",4,1
"000000100000",5,1
"000000110000",5,4
"000000100000",5,4
"000010010000",4,1
"000000100000",4,1
"000000100000",5,1
"000000100000",4,1
"000000100000",4,1
"000000100000",4,1
"000000100000",4,1
"000000110000",4,1
"000000110000",5,1
"000000100000",4,1
"000000100000",5,1
"000000100000",4,1
"000000110000",4,1
"000000110000",4,1
"000000100000",5,1
"000000110000",4,1
"000000100000",5,1
"000000100000",5,1
"000000110000",4,1
"000000100000",4,1
"000000100000",5,1
"000000100000",5,1
"000000100000",4,1
"000000110000",5,1
"000000100000",5,4
"000000100000",4,1
"000000100000",4,4
"000000100000",5,4
"000000100000",5,1
"000000100000",4,4
"000000110000",4,4
"000000100000",4,4
"000000110000",5,4
"000000100000",4,1
"000000100000",5,1
"000000100000",5,1
"000000100000",5,1
"000000100000",4,1
"000000100000",4,1
"000000100000",5,1
"000000100000",5,1
"000000100000",4,1
"000000110000",5,1
"000000100000",5,1
"000000110000",4,1
"000000100000",5,1
"000000100000",4,1
"000000100000",4,1
"000000110000",4,1
"000000100000",4,1
"000000110000",4,1
"000000100000",5,1
"000000100000",4,1
"000000100000",5,1
"000000110000",4,1
"000000100000",4,1
"000000110000",5,1
"000000100000",5,1
"000000100000",4,1
"000000100000",5,1
"000000110000",4,1
"000000100000",5,1
"000000100000",4,1
"000000100000",5,1
"000000100000",4,1
"000000100000",4,1
"000000100000",5,1
"000000100000",4,1
"000000100000",4,1
"000000100000",4,1
"000000110000",5,1
"000000100000",4,1
"000000100000",5,1
"000000100000",4,1
"000000100000",5,1
"000000100000",4,1
