"ch" "sex" "age"
"00000000001000" 5 4
"00000000001000" 4 1
"00000000001000" 4 1
"00000000001000" 4 1
"00000000001000" 4 1
"00000000001000" 5 1
"00000000001000" 4 1
"00000000001000" 4 1
"00000000001000" 4 1
"00000000001000" 4 1
"00000000001000" 5 2
"00000000001000" 4 1
"00000000001000" 5 1
"00000000001000" 4 1
"00000000001000" 5 1
"00000000001000" 4 4
"00000000001000" 5 1
"00000000001000" 4 1
"00000000100010" 5 1
"00100000000000" 4 1
"10000000000000" 4 1
"10000000000000" 4 1
"10000000000000" 5 1
"10000000000000" 5 1
"10000000000000" 4 1
"10000000000000" 4 1
"00100000000000" 4 1
"00100000000000" 4 1
"00100000000000" 5 1
"00100000000000" 4 1
"00100000000000" 4 1
"00100000000000" 5 1
"00100000000000" 4 1
"00100000000000" 4 1
"00100000000000" 4 1
"00100000000000" 5 1
"00100000000000" 4 1
"00100000000000" 4 1
"00100000000000" 5 1
"00100000000000" 5 1
"00100000000000" 5 1
"00100000000000" 4 1
"00100000000000" 5 1
"00100000000000" 4 1
"00100000000000" 4 1
"00100000000000" 4 1
"00100000000000" 4 1
"00100000000000" 4 1
"00100000000000" 5 1
"00100000000000" 5 1
"00100000000000" 4 2
"00100000000000" 4 1
"00100000000000" 5 1
"00100000000000" 5 2
"00100000000000" 4 1
"00100000000000" 5 1
"00100000000000" 5 2
"00100000000000" 5 1
"00100000000000" 4 1
"00100000000000" 5 1
"00100000000000" 4 1
"00100000000000" 4 2
"00100000000000" 4 2
"00100000000000" 4 1
"00100000000000" 5 1
"00100000000000" 5 2
"00100000000000" 4 1
"00100000000000" 4 1
"00100000000000" 4 1
"00100000000000" 5 1
"00100000000000" 4 1
"00100000000000" 5 2
"00100000000000" 5 1
"00100000000000" 5 1
"00100000000000" 4 1
"00100000000000" 4 1
"00100000000000" 5 2
"00100000000000" 4 1
"00100000000000" 4 1
"00100000000000" 4 1
"00100000000000" 4 1
"00100000000000" 5 2
"00100000000000" 5 1
"00100000000000" 4 1
"00100000000000" 4 2
"00100000000000" 4 1
"00100000000000" 5 1
"00100000000000" 4 2
"00100000000000" 5 1
"00100000000000" 4 1
"00100000000000" 4 2
"00100000000000" 5 1
"00100000000000" 5 2
"00100000000000" 5 2
"00100000000000" 4 2
"00100000000000" 4 1
"00100000000000" 5 1
"00000000000010" 5 1
"00100000000000" 4 1
"10000000000000" 4 4
"10000000000000" 4 4
"10000000000000" 4 4
"00000000000010" 5 1
"00100000000000" 5 1
"00100000000000" 4 1
"00000000000010" 4 1
"10000000000000" 4 1
"10000000000000" 5 1
"10000000000000" 5 1
"10000000000000" 4 1
"10000000000000" 4 1
"10000000000000" 4 1
"10000000000000" 5 1
"10000000000000" 4 1
"10000000000000" 5 1
"10000000000000" 5 1
"10000000000000" 5 1
"10000000000000" 4 1
"00000000100000" 4 4
